datetime,Price
2014-02-26,22.25
2014-02-27,22.39
2014-02-28,22.44
2014-03-05,22.46
2014-03-06,22.61
2014-03-07,22.46
2014-03-10,22.54
2014-03-11,22.45
2014-03-12,22.25
2014-03-13,22.51
2014-03-14,22.34
2014-03-17,22.24
2014-03-18,22.4
2014-03-19,22.43
2014-03-20,22.32
2014-03-21,22.48
2014-03-24,22.57
2014-03-25,22.74
2014-03-26,22.65
2014-03-27,23.06
2014-03-28,23.37
2014-03-31,23.29
2014-04-01,23.23
2014-04-02,23.04
2014-04-03,23.07
2014-04-04,23.41
2014-04-07,23.45
2014-04-08,23.69
2014-04-09,23.54
2014-04-10,23.63
2014-04-11,23.49
2014-04-14,23.6
2014-04-15,23.4
2014-04-16,23.47
2014-04-17,23.28
2014-04-22,23.28
2014-04-23,23.38
2014-04-24,23.52
2014-04-25,23.63
2014-04-28,23.57
2014-04-29,23.7
2014-04-30,23.48
2014-05-02,23.42
2014-05-05,23.49
2014-05-06,23.42
2014-05-07,23.37
2014-05-08,23.49
2014-05-09,23.21
2014-05-12,23.27
2014-05-13,23.33
2014-05-14,23.38
2014-05-15,23.48
2014-05-16,23.52
2014-05-19,23.32
2014-05-20,23.38
2014-05-21,23.15
2014-05-22,23.18
2014-05-23,23.16
2014-05-26,23.2
2014-05-27,22.88
2014-05-28,22.98
2014-05-29,22.98
2014-05-30,22.64
2014-06-02,22.57
2014-06-03,22.43
2014-06-04,22.16
2014-06-05,22.0
2014-06-06,22.35
2014-06-09,22.37
2014-06-10,22.39
2014-06-11,22.39
2014-06-13,22.38
2014-06-16,22.13
2014-06-17,22.1
2014-06-18,22.14
2014-06-20,22.37
2014-06-23,22.5
2014-06-24,22.32
2014-06-25,22.38
2014-06-26,22.49
2014-06-27,22.74
2014-06-30,22.66
2014-07-01,22.43
2014-07-02,22.4
2014-07-03,22.29
2014-07-04,22.31
2014-07-07,22.21
2014-07-08,22.07
2014-07-10,22.13
2014-07-11,22.01
2014-07-14,21.92
2014-07-15,21.68
2014-07-16,21.62
2014-07-17,21.33
2014-07-18,21.44
2014-07-21,21.6
2014-07-22,21.57
2014-07-23,21.59
2014-07-24,21.5
2014-07-25,21.25
2014-07-28,21.32
2014-07-29,21.25
2014-07-30,21.04
2014-07-31,20.89
2014-08-01,20.63
2014-08-04,20.55
2014-08-05,20.29
2014-08-06,20.43
2014-08-07,20.22
2014-08-08,20.11
2014-08-11,20.39
2014-08-12,20.49
2014-08-13,20.49
2014-08-14,20.58
2014-08-15,20.62
2014-08-18,20.66
2014-08-19,20.57
2014-08-20,20.62
2014-08-21,20.62
2014-08-22,20.32
2014-08-25,20.42
2014-08-26,20.36
2014-08-27,20.56
2014-08-28,20.66
2014-08-29,20.68
2014-09-01,20.73
2014-09-02,20.66
2014-09-03,20.92
2014-09-04,20.77
2014-09-05,20.65
2014-09-08,20.54
2014-09-09,20.14
2014-09-10,20.04
2014-09-11,20.13
2014-09-12,19.61
2014-09-15,19.52
2014-09-16,19.45
2014-09-17,19.5
2014-09-18,19.17
2014-09-19,19.28
2014-09-22,19.07
2014-09-23,18.95
2014-09-24,18.95
2014-09-25,19.12
2014-09-26,19.1
2014-09-29,19.13
2014-09-30,19.17
2014-10-01,19.03
2014-10-02,19.08
2014-10-03,19.15
2014-10-06,19.95
2014-10-07,20.05
2014-10-08,20.19
2014-10-09,20.35
2014-10-10,20.2
2014-10-13,20.5
2014-10-14,20.38
2014-10-15,20.1
2014-10-16,19.82
2014-10-17,20.17
2014-10-20,20.19
2014-10-21,20.09
2014-10-22,20.16
2014-10-23,20.05
2014-10-24,20.15
2014-10-27,19.8
2014-10-28,20.13
2014-10-29,20.61
2014-10-30,20.83
2014-10-31,20.53
2014-11-03,20.36
2014-11-04,19.92
2014-11-05,19.87
2014-11-06,19.96
2014-11-07,19.64
2014-11-10,20.1
2014-11-11,20.04
2014-11-12,20.2
2014-11-13,19.96
2014-11-14,19.61
2014-11-17,19.81
2014-11-18,20.04
2014-11-19,20.14
2014-11-21,20.46
2014-11-24,20.51
2014-11-25,20.66
2014-11-26,20.88
2014-11-27,20.99
2014-11-28,20.47
2014-12-01,20.45
2014-12-02,20.36
2014-12-03,20.45
2014-12-04,20.27
2014-12-05,20.32
2014-12-08,20.21
2014-12-09,20.13
2014-12-10,20.32
2014-12-11,19.97
2014-12-12,19.58
2014-12-15,19.51
2014-12-16,19.0
2014-12-17,19.14
2014-12-18,19.65
2014-12-19,19.76
2014-12-22,19.73
2014-12-23,19.52
2014-12-26,19.38
2014-12-29,19.46
2014-12-30,19.62
2015-01-02,19.31
2015-01-05,19.06
2015-01-06,19.04
2015-01-07,19.1
2015-01-08,19.0
2015-01-09,19.32
2015-01-12,19.3
2015-01-13,19.44
2015-01-14,19.67
2015-01-15,19.64
2015-01-16,19.67
2015-01-19,19.6
2015-01-20,19.61
2015-01-21,19.95
2015-01-22,20.2
2015-01-23,20.04
2015-01-26,19.89
2015-01-27,19.96
2015-01-28,19.95
2015-01-29,19.83
2015-01-30,19.39
2015-02-02,19.15
2015-02-03,19.11
2015-02-04,18.9
2015-02-05,18.55
2015-02-06,18.4
2015-02-09,18.31
2015-02-10,18.12
2015-02-11,17.79
2015-02-12,17.81
2015-02-13,18.01
2015-02-18,17.89
2015-02-19,17.87
2015-02-20,17.72
2015-02-23,17.7
2015-02-24,17.71
2015-02-25,17.73
2015-02-26,17.58
2015-02-27,17.53
2015-03-02,17.68
2015-03-03,17.48
2015-03-04,17.02
2015-03-05,16.92
2015-03-06,16.78
2015-03-09,16.5
2015-03-10,16.41
2015-03-11,16.58
2015-03-12,16.6
2015-03-13,16.04
2015-03-16,16.07
2015-03-17,15.76
2015-03-18,15.86
2015-03-19,15.84
2015-03-20,16.0
2015-03-23,16.29
2015-03-24,16.48
2015-03-25,16.44
2015-03-26,16.19
2015-03-27,16.1
2015-03-30,15.93
