datetime,Price
2006-02-23,23.4
2006-02-24,23.42
2006-03-01,23.71
2006-03-02,23.73
2006-03-03,23.73
2006-03-06,23.39
2006-03-07,23.1
2006-03-08,22.94
2006-03-09,23.21
2006-03-10,23.44
2006-03-13,23.49
2006-03-14,23.48
2006-03-15,23.47
2006-03-16,23.51
2006-03-17,23.31
2006-03-20,23.07
2006-03-21,22.76
2006-03-22,22.87
2006-03-23,22.66
2006-03-24,22.72
2006-03-27,22.49
2006-03-28,22.11
2006-03-29,22.07
2006-03-30,22.36
2006-03-31,22.62
2006-04-03,23.14
2006-04-04,23.2
2006-04-05,23.24
2006-04-06,23.41
2006-04-07,23.26
2006-04-10,23.29
2006-04-11,23.49
2006-04-12,23.65
2006-04-13,23.72
2006-04-17,23.79
2006-04-18,24.05
2006-04-19,24.04
2006-04-20,23.93
2006-04-24,23.97
2006-04-25,23.7
2006-04-26,23.68
2006-04-27,23.75
2006-04-28,23.94
2006-05-02,24.18
2006-05-03,23.96
2006-05-04,23.94
2006-05-05,24.1
2006-05-08,23.86
2006-05-09,23.88
2006-05-10,23.86
2006-05-11,23.36
2006-05-12,22.81
2006-05-15,22.36
2006-05-16,22.85
2006-05-17,21.98
2006-05-18,22.23
2006-05-19,21.9
2006-05-22,21.11
2006-05-23,21.05
2006-05-24,20.11
2006-05-25,21.04
2006-05-26,21.61
2006-05-29,21.33
2006-05-30,21.08
2006-05-31,20.99
2006-06-01,21.7
2006-06-02,21.53
2006-06-05,21.81
2006-06-06,21.74
2006-06-07,21.87
2006-06-08,21.49
2006-06-09,21.56
2006-06-12,21.29
2006-06-13,21.17
2006-06-14,21.36
2006-06-16,21.72
2006-06-19,21.66
2006-06-20,21.72
2006-06-21,21.86
2006-06-22,21.73
2006-06-23,21.87
2006-06-26,21.85
2006-06-27,21.79
2006-06-28,21.97
2006-06-29,22.44
2006-06-30,22.53
2006-07-03,22.37
2006-07-04,22.49
2006-07-05,22.21
2006-07-06,22.46
2006-07-07,22.41
2006-07-10,22.52
2006-07-11,22.48
