datetime,Price
2006-03-06,7.4
2006-03-07,7.27
2006-03-08,7.09
2006-03-09,7.14
2006-03-10,7.2
2006-03-13,7.13
2006-03-14,7.09
2006-03-15,6.89
2006-03-16,6.73
2006-03-17,6.73
2006-03-20,6.66
2006-03-21,6.48
2006-03-22,6.38
2006-03-23,6.37
2006-03-24,6.36
2006-03-27,6.22
2006-03-28,6.11
2006-03-29,6.07
2006-03-30,6.08
2006-03-31,6.16
2006-04-03,6.24
2006-04-04,6.27
2006-04-05,6.31
2006-04-06,6.3
2006-04-07,6.26
2006-04-10,6.26
2006-04-11,6.49
2006-04-12,6.59
2006-04-13,6.6
2006-04-17,6.69
2006-04-18,7.02
2006-04-19,7.25
2006-04-20,7.2
2006-04-24,7.32
2006-04-25,7.34
2006-04-26,7.37
2006-04-27,7.32
2006-04-28,7.39
2006-05-02,7.46
2006-05-03,7.37
2006-05-04,7.35
2006-05-05,7.39
2006-05-08,7.31
2006-05-09,7.31
2006-05-10,7.31
2006-05-11,7.15
2006-05-12,7.01
2006-05-15,6.88
2006-05-16,7.02
2006-05-17,6.85
2006-05-18,6.95
2006-05-19,6.82
2006-05-22,6.6
2006-05-23,6.67
2006-05-24,6.63
2006-05-25,6.79
2006-05-26,6.96
2006-05-29,6.85
2006-05-30,6.74
2006-05-31,6.76
2006-06-01,6.98
2006-06-02,7.02
2006-06-05,7.13
2006-06-06,7.11
2006-06-07,7.23
2006-06-08,7.18
2006-06-09,7.25
2006-06-12,7.11
2006-06-13,7.08
2006-06-14,7.26
2006-06-16,7.38
2006-06-19,7.37
2006-06-20,7.38
2006-06-21,7.52
2006-06-22,7.48
2006-06-23,7.53
2006-06-26,7.47
2006-06-27,7.48
2006-06-28,7.57
2006-06-29,7.75
2006-06-30,7.78
2006-07-03,7.74
2006-07-04,7.77
2006-07-05,7.67
2006-07-06,7.75
2006-07-07,7.72
2006-07-10,7.74
2006-07-11,7.74
2006-07-12,7.71
2006-07-13,7.63
2006-07-14,7.62
2006-07-17,7.65
2006-07-18,7.69
2006-07-19,7.71
2006-07-20,7.57
2006-07-21,7.51
2006-07-24,7.54
2006-07-25,7.46
2006-07-26,7.47
2006-07-27,7.44
2006-07-28,7.45
2006-07-31,7.45
2006-08-01,7.41
2006-08-02,7.5
2006-08-03,7.51
2006-08-04,7.49
2006-08-07,7.49
2006-08-08,7.49
2006-08-09,7.7
2006-08-10,7.78
2006-08-11,7.75
2006-08-14,7.82
2006-08-15,7.92
2006-08-16,7.96
2006-08-17,7.96
2006-08-18,7.94
2006-08-21,8.04
2006-08-22,8.06
2006-08-23,7.98
2006-08-24,7.97
2006-08-25,7.95
2006-08-28,8.04
2006-08-29,8.02
2006-08-30,8.05
2006-08-31,7.98
2006-09-01,8.02
2006-09-04,8.09
2006-09-05,8.06
2006-09-06,7.99
2006-09-08,8.0
2006-09-11,7.97
2006-09-12,8.01
2006-09-13,8.16
2006-09-14,8.16
2006-09-15,8.29
2006-09-18,8.47
2006-09-19,8.41
2006-09-20,8.44
2006-09-21,8.34
2006-09-22,8.37
2006-09-25,8.29
2006-09-26,8.42
2006-09-27,8.56
2006-09-28,8.7
2006-09-29,8.72
2006-10-02,8.98
2006-10-03,9.08
2006-10-04,9.18
2006-10-05,9.24
2006-10-06,9.55
2006-10-09,9.72
2006-10-10,9.75
2006-10-11,9.82
2006-10-13,10.01
2006-10-16,10.1
2006-10-17,10.1
2006-10-18,10.07
2006-10-19,10.23
2006-10-20,10.29
2006-10-23,10.11
2006-10-24,10.05
2006-10-25,9.99
2006-10-26,10.05
2006-10-27,10.05
2006-10-30,9.94
2006-10-31,9.96
2006-11-01,9.95
2006-11-03,9.94
2006-11-06,10.1
2006-11-07,10.36
2006-11-08,10.42
2006-11-09,10.58
2006-11-10,10.48
2006-11-13,10.43
2006-11-14,10.5
2006-11-16,10.5
2006-11-17,10.47
2006-11-20,10.62
2006-11-21,10.65
2006-11-22,10.75
2006-11-23,10.88
2006-11-24,10.99
2006-11-27,11.0
2006-11-28,11.12
2006-11-29,11.27
2006-11-30,11.45
2006-12-01,11.47
2006-12-04,11.51
2006-12-05,11.6
2006-12-06,11.67
2006-12-07,11.67
2006-12-08,11.71
2006-12-11,11.75
2006-12-12,11.68
2006-12-13,11.7
2006-12-14,11.74
2006-12-15,11.7
2006-12-18,11.65
2006-12-19,11.57
2006-12-20,11.56
2006-12-21,11.53
2006-12-22,11.54
2006-12-26,11.5
2006-12-27,11.5
2006-12-28,11.58
2007-01-02,11.64
2007-01-03,11.59
2007-01-04,11.62
2007-01-05,11.64
2007-01-08,11.69
2007-01-09,11.77
2007-01-10,11.79
2007-01-11,11.81
2007-01-12,11.88
2007-01-15,11.81
2007-01-16,11.6
2007-01-17,11.72
2007-01-18,11.77
2007-01-19,11.8
2007-01-22,11.79
2007-01-23,11.82
2007-01-24,11.69
2007-01-25,11.65
2007-01-26,11.61
2007-01-29,11.62
2007-01-30,11.58
2007-01-31,11.56
2007-02-01,11.66
2007-02-02,11.37
2007-02-05,11.29
2007-02-06,11.06
2007-02-07,10.84
2007-02-08,10.84
2007-02-09,10.69
2007-02-12,10.55
2007-02-13,10.37
2007-02-14,10.22
2007-02-15,10.22
2007-02-16,10.18
2007-02-21,10.25
2007-02-22,10.02
2007-02-23,9.97
2007-02-26,10.0
2007-02-27,9.76
2007-02-28,9.7
2007-03-01,9.69
2007-03-02,9.55
2007-03-05,9.53
2007-03-06,9.63
2007-03-07,9.66
2007-03-08,9.64
2007-03-09,9.63
2007-03-12,9.65
2007-03-13,9.54
2007-03-14,9.53
2007-03-15,9.63
2007-03-16,9.62
2007-03-19,9.68
2007-03-20,9.69
2007-03-21,9.8
2007-03-22,9.83
2007-03-23,9.84
2007-03-26,9.78
2007-03-27,9.76
2007-03-28,9.67
2007-03-29,9.81
2007-03-30,9.68
2007-04-02,9.67
2007-04-03,9.72
2007-04-04,9.66
2007-04-05,9.63
2007-04-09,9.62
2007-04-10,9.58
2007-04-11,9.47
2007-04-12,9.44
2007-04-13,9.51
2007-04-16,9.41
2007-04-17,9.4
2007-04-18,9.43
2007-04-19,9.37
2007-04-20,9.37
2007-04-23,9.31
2007-04-24,9.3
2007-04-25,9.31
2007-04-26,9.3
2007-04-27,9.31
2007-04-30,9.2
2007-05-02,9.23
2007-05-03,9.23
2007-05-04,9.21
2007-05-07,9.25
2007-05-08,9.25
2007-05-09,9.29
2007-05-10,9.24
2007-05-11,9.22
2007-05-14,9.28
2007-05-15,9.38
2007-05-16,9.58
2007-05-17,9.57
2007-05-18,9.57
2007-05-21,9.72
2007-05-22,9.72
2007-05-23,9.81
2007-05-24,9.75
2007-05-25,9.87
2007-05-28,9.98
2007-05-29,10.0
2007-05-30,10.08
2007-05-31,10.21
2007-06-01,10.33
2007-06-04,10.17
2007-06-05,10.12
2007-06-06,10.09
2007-06-08,10.11
2007-06-11,10.23
2007-06-12,10.18
2007-06-13,10.17
2007-06-14,10.25
2007-06-15,10.38
2007-06-18,10.42
2007-06-19,10.35
2007-06-20,10.16
2007-06-21,10.18
2007-06-22,10.03
2007-06-25,9.93
2007-06-26,9.83
2007-06-27,9.89
2007-06-28,9.92
2007-06-29,9.85
2007-07-02,9.93
2007-07-03,9.9
2007-07-04,9.87
2007-07-05,9.81
2007-07-06,9.85
2007-07-10,9.85
2007-07-11,9.88
2007-07-12,9.99
2007-07-13,10.02
2007-07-16,9.97
2007-07-17,10.08
2007-07-18,10.12
2007-07-19,10.22
2007-07-20,10.25
2007-07-23,10.4
2007-07-24,10.34
2007-07-25,10.31
2007-07-26,10.03
2007-07-27,10.22
2007-07-30,10.34
2007-07-31,10.31
2007-08-01,10.36
2007-08-02,10.56
2007-08-03,10.57
2007-08-06,10.63
2007-08-07,10.77
2007-08-08,11.04
2007-08-09,10.77
2007-08-10,10.77
2007-08-13,11.05
2007-08-14,10.99
2007-08-15,10.9
2007-08-16,10.75
2007-08-17,11.44
2007-08-20,11.45
2007-08-21,11.51
2007-08-22,11.65
2007-08-23,11.74
2007-08-24,12.02
2007-08-27,11.96
2007-08-28,11.74
2007-08-29,12.06
2007-08-30,12.11
2007-08-31,12.17
2007-09-03,12.41
2007-09-04,12.76
2007-09-05,12.92
2007-09-06,13.29
2007-09-10,13.59
2007-09-11,13.88
2007-09-12,14.06
2007-09-13,14.28
2007-09-14,14.46
2007-09-17,14.36
2007-09-18,14.72
2007-09-19,14.73
2007-09-20,14.77
2007-09-21,14.82
2007-09-24,15.05
2007-09-25,15.08
2007-09-26,15.0
2007-09-27,14.96
2007-09-28,14.9
2007-10-01,14.97
2007-10-02,14.78
2007-10-03,14.63
2007-10-04,14.67
2007-10-05,14.85
2007-10-08,14.7
2007-10-09,14.84
2007-10-10,14.69
2007-10-11,14.71
2007-10-15,14.71
2007-10-16,14.78
2007-10-17,14.76
2007-10-18,15.21
2007-10-19,15.07
2007-10-22,15.03
2007-10-23,15.46
2007-10-24,15.51
2007-10-25,15.75
2007-10-26,15.92
2007-10-29,16.22
2007-10-30,16.49
2007-10-31,16.78
2007-11-01,16.79
2007-11-05,16.81
2007-11-06,17.27
2007-11-07,17.45
