datetime,Price
2006-03-13,12.96
2006-03-14,12.91
2006-03-15,13.0
2006-03-16,12.78
2006-03-17,12.68
2006-03-20,12.73
2006-03-21,12.67
2006-03-22,12.94
2006-03-23,12.87
2006-03-24,12.96
2006-03-27,13.12
2006-03-28,12.99
2006-03-29,12.96
2006-03-30,12.94
2006-03-31,12.72
2006-04-03,12.61
2006-04-04,12.45
2006-04-05,12.46
2006-04-06,12.58
2006-04-07,12.45
2006-04-10,12.4
2006-04-11,12.52
2006-04-12,12.54
2006-04-13,12.54
2006-04-17,12.77
2006-04-18,12.88
2006-04-19,12.82
2006-04-20,12.75
2006-04-24,12.93
2006-04-25,12.9
2006-04-26,12.9
2006-04-27,12.9
2006-04-28,13.26
2006-05-02,13.39
2006-05-03,13.29
2006-05-04,13.43
2006-05-05,13.51
2006-05-08,13.18
2006-05-09,13.52
2006-05-10,13.65
2006-05-11,13.5
2006-05-12,13.47
2006-05-15,13.19
2006-05-16,13.25
2006-05-17,13.17
2006-05-18,13.36
2006-05-19,12.96
2006-05-22,12.84
2006-05-23,12.75
2006-05-24,12.61
2006-05-25,12.91
2006-05-26,12.96
2006-05-29,12.63
2006-05-30,13.05
2006-05-31,12.7
2006-06-01,13.0
2006-06-02,13.16
2006-06-05,13.34
2006-06-06,13.22
2006-06-09,12.96
2006-06-12,13.1
2006-06-13,13.14
2006-06-14,13.1
2006-06-16,13.29
2006-06-19,12.84
2006-06-20,12.99
2006-06-21,13.08
2006-06-22,13.04
2006-06-23,13.09
2006-06-26,12.8
2006-06-27,12.85
2006-06-28,13.14
2006-06-29,13.37
2006-06-30,13.47
2006-07-03,13.48
2006-07-04,13.63
2006-07-05,13.39
2006-07-06,13.75
2006-07-07,13.52
2006-07-10,13.55
2006-07-11,13.77
2006-07-12,13.52
2006-07-13,13.4
2006-07-14,13.51
2006-07-17,13.34
2006-07-18,13.46
2006-07-19,13.48
2006-07-20,13.39
2006-07-21,13.35
2006-07-24,13.4
2006-07-25,13.6
2006-07-26,13.76
2006-07-27,13.46
2006-07-28,13.57
2006-07-31,13.47
2006-08-01,13.36
2006-08-02,13.68
2006-08-03,13.58
2006-08-04,13.63
2006-08-07,13.34
